Inclui transações da Amazon Marketplace; Fulfillment by Amazon (FBA); e Amazon Webstore;;;;;;;;;;;;;;;;;;;;
Todas as quantias em BRL; a menos que especificado;;;;;;;;;;;;;;;;;;;;;
Definições:;;;;;;;;;;;;;;;;;;;;;;
Imposto de vendas coletados: Inclui impostos sobre vendas coletados de compradores para vendas de produtos; envio e embalagem para presente.;;;;;;;;;;;;;;;;;;;;;
Tarifas de venda: Inclui tarifas de fechamento variável e tarifas de referência.;;;;;;;;;;;;;;;;;;;;;;
Outras taxas de transação: Inclui cobranças retroativas de envio; retenção de envi; taxas por item e taxas de coleta de impostos de vendas.;;;;;;;;;;;;;;;;;;;;
Outros: Inclui quantias de transação não relacionadas a pedidos. Para obter mais detalhes;" consulte as colunas ""Tipo"" e ""Descrição"" para cada ID de pedido.";;;;;;;;;;;;;;;;;;;;;
data/hora;id de liquidação;tipo;id do pedido;sku;descrição;quantidade;mercado;tipo de conta;atendimento;cidade do pedido;estado do pedido;postal do pedido;vendas do produto;créditos de remessa;créditos de embalagem de presente;descontos promocionais;imposto de vendas coletados;tarifas de venda;taxas fba;taxas de outras transações;outro;total
31 de dez. de 2025 23:45:44 GMT-8;25242028381;Pedido;701-4322463-3793053;VA-5N7A-ZMX7;Bíblia Trindade - Marrom - Heziom - Letra Grande;1;amazon.com.br;Boleto;Amazon;Santana de Parnaíba;SP;6544;109,9;0;0;0;0;-18,14;-14,05;0;0;77,71
1 de jan. de 2026 02:05:57 GMT-8;25296870171;Pedido;702-0747160-3156254;9,78655E+12;Meditações em Provérbios: Sabedoria Para uma Vida Teocêntrica (Volume 2);1;amazon.com.br;Visa Crédito;Vendedor;Rio Branco;AC;69903;89,9;0;0;0;0;-13,49;0;0;0;76,41
1 de jan. de 2026 02:07:02 GMT-8;25242028381;Pedido;702-9139068-0055434;DK-INBH-50BH;A Ilusão do Livre-Arbítrio: Uma Perspectiva Bíblica Sobre as Escolhas Humanas e Nossa Liberdade em Cristo;1;amazon.com.br;Boleto;Vendedor;Indaiatuba;SP;13330;26,19;0;0;0;0;-3,93;0;0;0;22,26
1 de jan. de 2026 03:02:31 GMT-8;25296870171;Pedido;702-7068750-9627417;698883;Mães da aliança 2026: Orando pelos filhos com base nas promessas de Deus;1;amazon.com.br;Visa Crédito;Vendedor;BELEM;PARÁ;66083;99,9;0;0;0;0;-14,99;0;0;0;84,91
1 de jan. de 2026 03:57:13 GMT-8;25241916271;Pedido;702-0223374-8569879;9,78655E+12;Meditações em Provérbios: Sabedoria Para uma Vida Teocêntrica (Volume 2);1;amazon.com.br;Crédito Mastercard e outros;Vendedor;Lu&iacute;;;;;;;;;;;;
1 de jan. de 2026 04:41:00 GMT-8;25241916271;Pedido;702-1802041-5229039;9,78655E+12;Meditações em Provérbios: Sabedoria Para uma Vida Teocêntrica (Volume 2);1;amazon.com.br;Crédito Mastercard e outros;Vendedor;Londrina;PR;86078;89,9;0;0;0;0;-13,49;0;0;0;76,41
1 de jan. de 2026 05:21:28 GMT-8;25296870171;Pedido;701-7153375-6082601;698883;Mães da aliança 2026: Orando pelos filhos com base nas promessas de Deus;1;amazon.com.br;Visa Crédito;Vendedor;Santana de Parnaíba;SP;6543;99,9;0;0;0;0;-14,99;0;0;0;84,91
1 de jan. de 2026 05:29:34 GMT-8;25242028381;Pedido;702-3293429-0907427;9,78655E+12;Meditações em Provérbios: Sabedoria Para uma Vida Teocêntrica (Volume 2);1;amazon.com.br;Boleto;Vendedor;São Paulo;SP;5583;89,9;0;0;0;0;-13,49;0;0;0;76,41
1 de jan. de 2026 05:41:17 GMT-8;25242028381;Pedido;702-0789945-4766652;VA-5N7A-ZMX7;Bíblia Trindade - Marrom - Heziom - Letra Grande;1;amazon.com.br;Boleto;Amazon;Recife;PE;50610;109,9;1,99;0;-1,99;0;-18,14;-14,05;0;0;77,71
1 de jan. de 2026 06:03:36 GMT-8;25296870171;Pedido;701-9355811-0681812;698883;Mães da aliança 2026: Orando pelos filhos com base nas promessas de Deus;1;amazon.com.br;Visa Crédito;Vendedor;Ribeirão Preto;SP;14033;99,9;0;0;0;0;-14,99;0;0;0;84,91
