Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Beae product countdown end at (product.metafields.beae.countdown),Beae product countdown start at (product.metafields.beae.countdown_from),Conservação (product.metafields.custom.conservacao),Descricao Institucional (product.metafields.custom.descricao_institucional),Preço plano anual (product.metafields.custom.preco_plano_anual),Titulo institucional (product.metafields.custom.titulo_institucional),EComposer product countdown end at (product.metafields.ecomposer.countdown),EComposer product countdown start at (product.metafields.ecomposer.countdown_from),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Informações sobre alérgenos (product.metafields.shopify.allergen-information),Tipo de chocolate (product.metafields.shopify.chocolate-type),Cor (product.metafields.shopify.color-pattern),Preferências dietéticas (product.metafields.shopify.dietary-preferences),Sabor (product.metafields.shopify.flavor),Tipo de farinha/grão (product.metafields.shopify.flour-grain-type),Ficha técnica do alimento (product.metafields.shopify.food-product-form),Instruções de aquecimento (product.metafields.shopify.heating-instructions),Material (product.metafields.shopify.material),Forma (product.metafields.shopify.shape),Tipo de entrada de chá (product.metafields.shopify.tea-input-type),Produtos complementares (product.metafields.shopify--discovery--product_recommendation.complementary_products),Produtos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products),Configurações de produtos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products_display),Impulsionamentos de produtos na pesquisa (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
bombom-branco-c-frutas-vermelhas,Bombom branco c/ frutas vermelhas,"<p>Ingredientes: Chocolate nobre branco (isomalto-oligossacarídeo da mandioca, manteiga de cacau, leite em pó integral sem lactose, polidextrose, lecitina de girassol, polirricenoleato de poliglicerina, vanilla e aroma de leite), Geleia de frutas vermelhas (isomalto-oligossacarídeo da mandioca, edulcorante stevia,  morango, mirtilo e amora), Massa de bolo de baunilha (ovos caipiras, farinha de amêndoas, farinha de castanhas, isomalto-oligossacarídeo da mandioca, edulcorante stevia , manteiga ghee, leite de amêndoas, extrato de baunilha natural e fermento químico).  <br>NÃO CONTÉM GLÚTEN // NÃO CONTÉM LACTOSE</p>",Move Gourmet,"Alimentos, bebidas e tabaco > Alimentos > Padaria > Bolos e sobremesas em forma de barra > Bolos",,,true,Title,Default Title,,,,,,,,PRD01154,0.0,shopify,deny,manual,29.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0774/1148/3884/files/6_52.jpg?v=1780159699,1,Bombom branco c/ frutas vermelhas - Move Gourmet,false,Bombom Branco com Frutas Vermelhas Sem Lactose,"Bombom de chocolate branco com geleia de frutas vermelhas e massa de baunilha, sem glúten e sem lactose. Um doce leve e sofisticado. Peça já.",2194,,,,,,,,,,,,,,,,,,,,nozes,,,sem-gluten; nao-contem-lactose,morango; mirtilo; framboesa; baunilha,,,,,,,,,,,,g,,,active
bombom-branco-c-frutas-vermelhas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0774/1148/3884/files/7_41.jpg?v=1780159699,2,Bombom branco c/ frutas vermelhas - Move Gourmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bombom-branco-c-frutas-vermelhas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0774/1148/3884/files/8_36.jpg?v=1780159699,3,Bombom branco c/ frutas vermelhas - Move Gourmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bombom-brownie,Bombom Brownie,"<p>Ingredientes: Chocolate nobre ao leite 42% ( (isomalto-oligossacarídeo da mandioca,  manteiga de cacau, liquor de cacau, fibra: polidextrose, emulsificante: lecitina de girassol,  polirricenoleato de poliglicerina, vanilla e aroma de leite ), Recheio de doce de leite ( leite integral zero lactose, isomalto-oligossacarídeo da mandioca, edulcorante stevia)  , Massa de brownie 70% (ovos caipiras, chocolate nobre 70%,  isomalto-oligossacarídeo da mandioca, edulcorante stevia, farinha de amêndoas, óleo de coco sem sabor, cacau em pó alcalino e bicarbonato de sódio).  <br>NÃO CONTÉM GLÚTEN // NÃO CONTÉM LACTOSE</p>",Move Gourmet,"Alimentos, bebidas e tabaco > Alimentos > Padaria > Bolos e sobremesas em forma de barra > Bolos",,,true,Title,Default Title,,,,,,,,PRD00949,0.0,shopify,deny,manual,29.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0774/1148/3884/files/3_89_e38da4d4-5fb6-4b41-82f4-84d19333e3ad.jpg?v=1780159703,1,Bombom Brownie - Move Gourmet,false,Bombom Brownie com Doce de Leite Sem Lactose,"Bombom de chocolate ao leite com recheio de doce de leite e massa de brownie, sem glúten e sem lactose. Sabor intenso e leve. Receba em casa.",2194,,,,,,,,,,,,,,,,,,,,ovos; trigo; leite,,,sem-gluten; nao-contem-lactose,chocolate; baunilha,,,,,,,,,,,,g,,,active
bombom-brownie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0774/1148/3884/files/4_79_3d798c09-075c-4c3b-bb14-ab7b907395c9.jpg?v=1780159703,2,Bombom Brownie - Move Gourmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bombom-brownie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0774/1148/3884/files/5_55_bd067a15-0dde-4ae5-aa07-9fa987faf518.jpg?v=1780159703,3,Bombom Brownie - Move Gourmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pote-de-brigadeiro-de-colher-300-g-copia,Pote de Doce de Leite de Colher - 300 g,"<p data-start=""591"" data-end=""797"">Delicado, cremoso e cheio de sabor.<br data-start=""626"" data-end=""629"">Nosso doce de leite de colher possui textura macia e sabor equilibrado, perfeito para quem aprecia um clássico reinventado com ingredientes cuidadosamente selecionados.</p>
<p data-start=""799"" data-end=""864"">Ideal para saborear puro ou acompanhar suas sobremesas favoritas.</p>
<p data-start=""866"" data-end=""929""><strong data-start=""866"" data-end=""929"">Sem glúten • Sem lactose • Sem açúcar refinado • Sem poliol</strong></p>
<p data-start=""931"" data-end=""972"">✨ <strong data-start=""933"" data-end=""972"">Uma indulgência leve e sofisticada.</strong></p>
<p data-start=""974"" data-end=""997""><strong data-start=""974"" data-end=""997"">Peso líquido: 300 g</strong></p>",Move Gourmet,"Alimentos, bebidas e tabaco > Alimentos > Doces e chocolates > Chocolate",Doce,"Doce fit, Sem açucar, Sem glúten, Sem lactose, Zero poliol",true,Title,Default Title,,,,,,,,PRD01141,300.0,shopify,deny,manual,65.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0774/1148/3884/files/5_46.jpg?v=1773282307,1,Pote de Doce de Leite de Colher - 300 g - Move Gourmet,false,Pote de Doce de Leite de Colher Sem Açúcar 300g,"Doce de leite de colher com textura macia e sabor equilibrado, sem glúten, sem lactose e sem açúcar refinado. Pote de 300 g. Receba em casa.",4748,,,,,,,,,,,,,,"Nosso doce de leite de colher possui textura macia e sabor equilibrado, perfeito para quem aprecia um clássico reinventado com ingredientes cuidadosamente selecionados",,Pote de Doce de Leite de Colher - 300 g,,,,,outro,,sem-gluten; nao-contem-lactose,chocolate,,,,,,,,,,,,g,,,active
pote-de-brigadeiro-de-colher-300-g-copia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0774/1148/3884/files/4_64.jpg?v=1773282307,2,Pote de Doce de Leite de Colher - 300 g - Move Gourmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pote-de-brigadeiro-de-colher-300-g,Pote de Brigadeiro de Colher - 300 g,"<p data-start=""120"" data-end=""398"">Cremoso, intenso e simplesmente irresistível.<br data-start=""165"" data-end=""168"">O nosso brigadeiro de colher é preparado com ingredientes selecionados para oferecer uma experiência rica em sabor e textura aveludada, perfeita para quem ama chocolate e busca um doce sofisticado para saborear a qualquer momento.</p>
<p data-start=""400"" data-end=""463""><strong data-start=""400"" data-end=""463"">Sem glúten • Sem lactose • Sem açúcar refinado • Sem poliol</strong></p>
<p data-start=""465"" data-end=""507"">✨ <strong data-start=""467"" data-end=""507"">Doce prazer para saborear sem culpa.</strong></p>
<p data-start=""509"" data-end=""532""><strong data-start=""509"" data-end=""532"">Peso líquido: 300 g</strong></p>",Move Gourmet,"Alimentos, bebidas e tabaco > Alimentos > Doces e chocolates > Chocolate",Doce,"Doce fit, Sem açucar, Sem glúten, Sem lactose, Zero poliol",true,Title,Default Title,,,,,,,,PRD01125,300.0,shopify,deny,manual,59.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0774/1148/3884/files/3_74.jpg?v=1773282308,1,Pote de Brigadeiro de Colher - 300 g - Move Gourmet,false,Pote de Brigadeiro de Colher Sem Açúcar 300g,"Brigadeiro de colher cremoso e intenso, feito com chocolate, sem glúten, sem lactose e sem açúcar refinado. Pote de 300 g para saborear. Peça já.",4748,,,,,,,,,,,,,,"Cremoso, intenso e simplesmente irresistível.O nosso brigadeiro de colher é preparado com ingredientes selecionados para oferecer uma experiência rica em sabor",,Pote de Brigadeiro de Colher - 300 g,,,,,chocolate-amargo,,sem-gluten; nao-contem-lactose,chocolate,,,,,,,,,,,,g,,,active
pote-de-brigadeiro-de-colher-300-g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0774/1148/3884/files/2_67.jpg?v=1773282308,2,Pote de Brigadeiro de Colher - 300 g - Move Gourmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
