Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Beae product countdown end at (product.metafields.beae.countdown),Beae product countdown start at (product.metafields.beae.countdown_from),Conservação (product.metafields.custom.conservacao),Descricao Institucional (product.metafields.custom.descricao_institucional),Preço plano anual (product.metafields.custom.preco_plano_anual),Titulo institucional (product.metafields.custom.titulo_institucional),EComposer product countdown end at (product.metafields.ecomposer.countdown),EComposer product countdown start at (product.metafields.ecomposer.countdown_from),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Informações sobre alérgenos (product.metafields.shopify.allergen-information),Tipo de chocolate (product.metafields.shopify.chocolate-type),Cor (product.metafields.shopify.color-pattern),Preferências dietéticas (product.metafields.shopify.dietary-preferences),Sabor (product.metafields.shopify.flavor),Tipo de farinha/grão (product.metafields.shopify.flour-grain-type),Ficha técnica do alimento (product.metafields.shopify.food-product-form),Instruções de aquecimento (product.metafields.shopify.heating-instructions),Material (product.metafields.shopify.material),Forma (product.metafields.shopify.shape),Tipo de entrada de chá (product.metafields.shopify.tea-input-type),Produtos complementares (product.metafields.shopify--discovery--product_recommendation.complementary_products),Produtos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products),Configurações de produtos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products_display),Impulsionamentos de produtos na pesquisa (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
coxinha-de-fumeiro-8-un-312g-copia,Coxinha de Costela – 8 un.  312g,"<p data-start=""99"" data-end=""371"">Ingredientes: Aipim (mandioca), costela bovina desfiada, caldo de frango orgânico, requeijão sem lactose, amaranto, fécula de batata, cebola, azeite de oliva, óleo de coco, sal, pimenta-preta.  NÃO CONTÉM GLÚTEN // NÃO CONTÉM LACTOSE</p>",Move Gourmet,"Alimentos, bebidas e tabaco > Alimentos > Pratos prontos > Acompanhamentos e aperitivos prontos",Salgado,"Lanche fit, Salgado fit, Sem lactose, Zero Glúten",false,Title,Default Title,,,,,,,,,312.0,shopify,deny,manual,54.83,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0774/1148/3884/files/1080X1350_22.jpg?v=1780082505,1,"",false,,,,,,,,,,,,,,,,,,"R$ 34,89",,,,,leite; ovos; nozes,,,sem-gluten; nao-contem-lactose; organico,,,fresco,,,,,,,,,,g,,,draft
bombom-branco-c-frutas-vermelhas,Bombom branco c/ frutas vermelhas,"<p>Ingredientes: Chocolate nobre branco (isomalto-oligossacarídeo da mandioca, manteiga de cacau, leite em pó integral sem lactose, polidextrose, lecitina de girassol, polirricenoleato de poliglicerina, vanilla e aroma de leite), Geleia de frutas vermelhas (isomalto-oligossacarídeo da mandioca, edulcorante stevia,  morango, mirtilo e amora), Massa de bolo de baunilha (ovos caipiras, farinha de amêndoas, farinha de castanhas, isomalto-oligossacarídeo da mandioca, edulcorante stevia , manteiga ghee, leite de amêndoas, extrato de baunilha natural e fermento químico).  <br>NÃO CONTÉM GLÚTEN // NÃO CONTÉM LACTOSE</p>",Move Gourmet,"Alimentos, bebidas e tabaco > Alimentos > Padaria > Bolos e sobremesas em forma de barra > Bolos","","",true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,29.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0774/1148/3884/files/6_52.jpg?v=1780159699,1,Bombom branco c/ frutas vermelhas - Move Gourmet,false,,,2194,,,,,,,,,,,,,,,,,,,,nozes,,,sem-gluten; nao-contem-lactose,morango; mirtilo; framboesa; baunilha,,,,,,,,,,,,g,,,active
bombom-branco-c-frutas-vermelhas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0774/1148/3884/files/7_41.jpg?v=1780159699,2,Bombom branco c/ frutas vermelhas - Move Gourmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bombom-branco-c-frutas-vermelhas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0774/1148/3884/files/8_36.jpg?v=1780159699,3,Bombom branco c/ frutas vermelhas - Move Gourmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bombom-brownie,Bombom Brownie,"<p>Ingredientes: Chocolate nobre ao leite 42% ( (isomalto-oligossacarídeo da mandioca,  manteiga de cacau, liquor de cacau, fibra: polidextrose, emulsificante: lecitina de girassol,  polirricenoleato de poliglicerina, vanilla e aroma de leite ), Recheio de doce de leite ( leite integral zero lactose, isomalto-oligossacarídeo da mandioca, edulcorante stevia)  , Massa de brownie 70% (ovos caipiras, chocolate nobre 70%,  isomalto-oligossacarídeo da mandioca, edulcorante stevia, farinha de amêndoas, óleo de coco sem sabor, cacau em pó alcalino e bicarbonato de sódio).  <br>NÃO CONTÉM GLÚTEN // NÃO CONTÉM LACTOSE</p>",Move Gourmet,"Alimentos, bebidas e tabaco > Alimentos > Padaria > Bolos e sobremesas em forma de barra > Bolos","","",true,Title,Default Title,,,,,,,,PRD00949,0.0,shopify,deny,manual,29.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0774/1148/3884/files/3_89_e38da4d4-5fb6-4b41-82f4-84d19333e3ad.jpg?v=1780159703,1,Bombom Brownie - Move Gourmet,false,,,2194,,,,,,,,,,,,,,,,,,,,ovos; trigo; leite,,,sem-gluten; nao-contem-lactose,chocolate; baunilha,,,,,,,,,,,,g,,,active
bombom-brownie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0774/1148/3884/files/4_79_3d798c09-075c-4c3b-bb14-ab7b907395c9.jpg?v=1780159703,2,Bombom Brownie - Move Gourmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bombom-brownie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0774/1148/3884/files/5_55_bd067a15-0dde-4ae5-aa07-9fa987faf518.jpg?v=1780159703,3,Bombom Brownie - Move Gourmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ovo-de-pascoa-de-chocolate-recheado-de-brigadeiro-meio-amargo-e-mini-trufa-de-chocolate-240g-sca_clone_freegift,🎁 Ovo de Páscoa de Chocolate recheado de brigadeiro meio amargo e mini trufa de chocolate 240g (100% off),"<h2>
                This product is used for the app
                <span style=""text-decoration: underline;"" data-mce-style=""text-decoration: underline;"">
                    <strong>BOGOS.io Free Gift BOGO Bundle</strong>
                </span>
                <strong> to work. </strong>
            </h2>

            <p>
                Please do not delete/edit it while the offers are still running!
                <br>
                If you need assistance, please contact us via Live chat in-app or email us at:
                <span style=""color: #2b00ff;"">
                    <a href=""mailto:help@bogos.io"" target=""_blank"" style=""color: #2b00ff;"" rel=""noopener noreferrer"">help@bogos.io</a>.
                </span>
            </p>",Move Gourmet,"Alimentos, bebidas e tabaco > Alimentos > Doces e chocolates > Chocolate","",bogos-gift,true,Title,Default Title,,,,,,,,,240.0,,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0774/1148/3884/files/WhatsAppImage2026-02-28at13.54.31_7cb0f1e9-85fa-4edd-ab63-10b8db496c82.jpg?v=1773320531,1,🎁 Ovo de Páscoa de Chocolate recheado de brigadeiro meio amargo e mini trufa de chocolate 240g (100% off) - Move Gourmet,false,,,4748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,unlisted
ovo-de-pascoa-de-chocolate-recheado-com-brigadeiro-de-pistache-e-mini-trufa-de-chocolate-branco-240g-sca_clone_freegift,🎁 Ovo de Páscoa de chocolate recheado com brigadeiro de Pistache e mini trufa de chocolate branco. 240g (100% off),"<h2>
                This product is used for the app
                <span style=""text-decoration: underline;"" data-mce-style=""text-decoration: underline;"">
                    <strong>BOGOS.io Free Gift BOGO Bundle</strong>
                </span>
                <strong> to work. </strong>
            </h2>

            <p>
                Please do not delete/edit it while the offers are still running!
                <br>
                If you need assistance, please contact us via Live chat in-app or email us at:
                <span style=""color: #2b00ff;"">
                    <a href=""mailto:help@bogos.io"" target=""_blank"" style=""color: #2b00ff;"" rel=""noopener noreferrer"">help@bogos.io</a>.
                </span>
            </p>",Move Gourmet,"Alimentos, bebidas e tabaco > Alimentos > Doces e chocolates > Chocolate","",bogos-gift,true,Title,Default Title,,,,,,,,,240.0,,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0774/1148/3884/files/IMG_9678_8915163f-ede5-4265-aca6-dc54003cac42.jpg?v=1773320528,1,🎁 Ovo de Páscoa de chocolate recheado com brigadeiro de Pistache e mini trufa de chocolate branco. 240g (100% off) - Move Gourmet,false,,,4748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,unlisted
ovo-de-pascoa-chocolate-branco-com-recheio-de-brigadeiro-de-pistache-e-mini-trufa-de-chocolate-240g-sca_clone_freegift,🎁 Ovo de Páscoa chocolate branco com recheio de brigadeiro de Pistache e mini trufa de chocolate. 240g (100% off),"<h2>
                This product is used for the app
                <span style=""text-decoration: underline;"" data-mce-style=""text-decoration: underline;"">
                    <strong>BOGOS.io Free Gift BOGO Bundle</strong>
                </span>
                <strong> to work. </strong>
            </h2>

            <p>
                Please do not delete/edit it while the offers are still running!
                <br>
                If you need assistance, please contact us via Live chat in-app or email us at:
                <span style=""color: #2b00ff;"">
                    <a href=""mailto:help@bogos.io"" target=""_blank"" style=""color: #2b00ff;"" rel=""noopener noreferrer"">help@bogos.io</a>.
                </span>
            </p>",Move Gourmet,"Alimentos, bebidas e tabaco > Alimentos > Doces e chocolates > Chocolate","",bogos-gift,true,Title,Default Title,,,,,,,,,240.0,,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0774/1148/3884/files/WhatsAppImage2026-02-28at13.57.37_86366252-e895-43f5-80bf-f9a5978599ec.jpg?v=1773320527,1,🎁 Ovo de Páscoa chocolate branco com recheio de brigadeiro de Pistache e mini trufa de chocolate. 240g (100% off) - Move Gourmet,false,,,4748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,unlisted
